GeographyKey,GeographyLevel,GeographyName,CountryCode,CountryName,RegionCode,RegionName,OldLocalAuthorityCode,LocalAuthorityCode,LocalAuthorityName,GeographyLevelSort,MapLocation,AreaLabel
LA|E06000008,Local authority,Blackburn with Darwen,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,3,"Blackburn with Darwen, England",Blackburn with Darwen (North West)
LA|E06000009,Local authority,Blackpool,E92000001,England,E12000002,North West,890,E06000009,Blackpool,3,"Blackpool, England",Blackpool (North West)
LA|E08000001,Local authority,Bolton,E92000001,England,E12000002,North West,350,E08000001,Bolton,3,"Bolton, England",Bolton (North West)
LA|E08000002,Local authority,Bury,E92000001,England,E12000002,North West,351,E08000002,Bury,3,"Bury, England",Bury (North West)
LA|E10000004,Local authority,Cheshire,E92000001,England,E12000002,North West,x,E10000004,Cheshire,3,"Cheshire, England",Cheshire (North West)
LA|E06000049,Local authority,Cheshire East,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,3,"Cheshire East, England",Cheshire East (North West)
LA|E06000050,Local authority,Cheshire West and Chester,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,3,"Cheshire West and Chester, England",Cheshire West and Chester (North West)
LA|E06000063,Local authority,Cumberland,E92000001,England,E12000002,North West,942,E06000063,Cumberland,3,"Cumberland, England",Cumberland (North West)
LA|E10000006,Local authority,Cumbria,E92000001,England,E12000002,North West,909,E10000006,Cumbria,3,"Cumbria, England",Cumbria (North West)
LA|E06000006,Local authority,Halton,E92000001,England,E12000002,North West,876,E06000006,Halton,3,"Halton, England",Halton (North West)
LA|E08000011,Local authority,Knowsley,E92000001,England,E12000002,North West,340,E08000011,Knowsley,3,"Knowsley, England",Knowsley (North West)
LA|E10000017,Local authority,Lancashire,E92000001,England,E12000002,North West,888,E10000017,Lancashire,3,"Lancashire, England",Lancashire (North West)
LA|E08000012,Local authority,Liverpool,E92000001,England,E12000002,North West,341,E08000012,Liverpool,3,"Liverpool, England",Liverpool (North West)
LA|E08000003,Local authority,Manchester,E92000001,England,E12000002,North West,352,E08000003,Manchester,3,"Manchester, England",Manchester (North West)
LA|E08000004,Local authority,Oldham,E92000001,England,E12000002,North West,353,E08000004,Oldham,3,"Oldham, England",Oldham (North West)
LA|E08000005,Local authority,Rochdale,E92000001,England,E12000002,North West,354,E08000005,Rochdale,3,"Rochdale, England",Rochdale (North West)
LA|E08000006,Local authority,Salford,E92000001,England,E12000002,North West,355,E08000006,Salford,3,"Salford, England",Salford (North West)
LA|E08000014,Local authority,Sefton,E92000001,England,E12000002,North West,343,E08000014,Sefton,3,"Sefton, England",Sefton (North West)
LA|E08000013,Local authority,St. Helens,E92000001,England,E12000002,North West,342,E08000013,St. Helens,3,"St. Helens, England",St. Helens (North West)
LA|E08000007,Local authority,Stockport,E92000001,England,E12000002,North West,356,E08000007,Stockport,3,"Stockport, England",Stockport (North West)
LA|E08000008,Local authority,Tameside,E92000001,England,E12000002,North West,357,E08000008,Tameside,3,"Tameside, England",Tameside (North West)
LA|E08000009,Local authority,Trafford,E92000001,England,E12000002,North West,358,E08000009,Trafford,3,"Trafford, England",Trafford (North West)
